rfid,Sex,Squad #,ChamberColor,ChamberNumber,DelayLever,Shipment,3-cleaning-criteria (jeab paper),ObjectiveAUC-normD,Hyperbolic-k-FittedBias,Hyperbolic-k-ln,Exponential-k-FittedBias,Exponential-k-ln
24749,F,2,Red,2,L,R,0,0.696511439,0.0419228,-3.171925453,0.032989407,-3.411568765
24776,M,3,Blue,7,L,R,0,0.45175552,0.018305682,-4.000543758,0.0184766,-3.991250197
24779,F,5,Blue,7,L,R,0,0.587084502,0.098195436,-2.320795541,0.057398555,-2.857736152
24780,M,4,Blue,7,R,R,0,0.63521161,0.136966663,-1.988017718,0.080816664,-2.515572097
24783,M,5,Blue,8,R,R,0,0.577448928,0.045755985,-3.084432675,0.032995302,-3.411390078
24785,F,6,Blue,7,R,R,1,0.549038751,0.054576153,-2.908158247,0.040664088,-3.202409937
24788,M,6,Blue,8,L,R,0,0.581460443,0.047588089,-3.045172774,0.03726747,-3.28963444
24789,F,1,Blue,7,L,R,0,0.519339175,0.086783091,-2.444343475,0.057411944,-2.857502921
24791,M,5,Red,7,L,R,0,0.422778851,0.150309269,-1.895060315,0.088599058,-2.423634053
24794,F,2,Blue,7,R,R,0,0.532347555,0.11832926,-2.134284205,0.080417488,-2.520523614
24796,F,13,Blue,7,L,R,1,0.432413388,0.335241877,-1.092902987,0.192883709,-1.645667816
24798,M,9,Blue,8,R,R,0,0.51651431,0.136105435,-1.994325435,0.080136541,-2.524023334
24803,F,15,Blue,6,R,R,0,0.433851854,0.172324638,-1.758375151,0.094072405,-2.363690525
24804,M,5,Red,5,L,R,0,0.58233642,0.173715228,-1.750337944,0.098957285,-2.313066991
24805,F,6,Blue,6,L,R,0,0.698970945,0.033742543,-3.388995845,0.026395368,-3.634566742
24807,F,12,Blue,6,L,R,0,0.62603958,0.032339844,-3.431455259,0.025412191,-3.672526272
24808,F,8,Green,7,L,R,0,0.585504467,0.024739964,-3.699335377,0.022991455,-3.772632656
24809,F,4,Red,7,R,R,0,0.433504949,0.211760837,-1.552297769,0.119832047,-2.121664121
24810,M,13,Blue,6,R,R,0,0.355951782,0.039315504,-3.236136324,0.031865013,-3.44624663
24813,M,6,Red,7,R,R,0,0.312435107,0.120962827,-2.112271996,0.079993834,-2.525805728
24815,M,2,Red,5,R,R,0,0.567288564,0.063792743,-2.752115844,0.043688675,-3.130666359
24818,M,1,Red,5,L,R,0,0.392110631,0.04977643,-3.000213693,0.039203167,-3.238997757
24851,F,3,Blue,3,L,R,0,0.786529083,0.024287971,-3.717774064,0.020183986,-3.902865777
24856,M,1,Red,1,L,R,0,0.544598194,0.160558064,-1.82909963,0.090290321,-2.404725008
24858,F,7,Blue,4,R,R,0,0.448196839,0.090674574,-2.400478295,0.058169609,-2.844392237
24859,M,2,Red,1,R,R,0,0.392967793,0.310952864,-1.168113942,0.167826615,-1.784823886
24860,F,8,Blue,4,L,R,0,0.575658993,0.15993117,-1.833011743,0.093210143,-2.37289873
24861,F,16,Blue,2,L,R,1,0.371604967,0.161982324,-1.820268058,0.086952688,-2.442391128
24863,M,11,Blue,4,R,R,0,0.568994681,0.128540575,-2.051510669,0.073407945,-2.611723103
24865,M,8,Blue,2,L,R,1,0.526915714,0.16576436,-1.797188014,0.098111363,-2.321652093
24866,M,12,Blue,4,L,R,0,0.436180007,0.076597535,-2.569190385,0.051131947,-2.973345787
24867,F,13,Blue,4,R,R,0,0.599859272,0.202695212,-1.596051848,0.097150611,-2.331492811
24868,F,9,Blue,2,R,R,0,0.579278638,0.165652819,-1.797861135,0.100548173,-2.297118334
24869,F,10,Blue,2,L,R,0,0.568406917,0.075364069,-2.585424657,0.053060044,-2.936331098
24875,F,14,Blue,4,L,R,0,0.507731069,0.095293843,-2.350790075,0.060378928,-2.807115108
24876,F,3,Red,4,R,R,1,0.551973122,0.161915151,-1.820682839,0.087862356,-2.431983828
24877,M,2,Blue,1,R,R,0,0.396599861,0.300274827,-1.203057134,0.172467174,-1.757548356
24881,M,7,Blue,2,R,R,0,0.428669408,0.232818654,-1.457495436,0.132577763,-2.020585913
24882,M,1,Blue,5,L,R,0,0.5556246,0.140070285,-1.965610943,0.082811318,-2.491190536
24883,M,4,Blue,2,L,R,0,0.553389246,0.049091208,-3.014075327,0.040367089,-3.209740458
24884,F,4,Red,3,R,R,0,0.519985861,0.160054493,-1.83224094,0.091741543,-2.388779971
24887,F,4,Blue,4,L,R,0,0.444978572,0.127991014,-2.055795217,0.07859112,-2.543496569
24888,F,8,Red,4,L,R,0,0.685626305,0.120003564,-2.12023384,0.073433376,-2.611376737
24889,M,1,Blue,1,L,R,0,0.478614017,0.287179249,-1.247648698,0.158601493,-1.841360558
24890,M,3,Blue,2,R,R,1,0.541358243,0.070066414,-2.658311712,0.052057143,-2.955413253
24894,M,7,Red,1,L,R,0,0.404302053,0.207661599,-1.571845451,0.122317864,-2.101132179
24896,M,8,Red,1,R,R,0,0.427564072,0.086174778,-2.451377745,0.05409276,-2.917054921
24897,F,12,Blue,2,L,R,1,0.586340966,0.072518197,-2.623917759,0.049655479,-3.002646534
24898,F,11,Blue,2,R,R,0,0.434771133,0.125494222,-2.075495565,0.073951658,-2.604343669
24899,M,6,Blue,2,L,R,0,0.696838472,0.088319398,-2.426795509,0.061141428,-2.794565612
24900,F,4,Blue,3,R,R,0,0.444299031,0.012474007,-4.3841082,0.012646164,-4.370401353
24951,F,8,Green,5,R,R,0,0.617253472,0.098453491,-2.318171013,0.063680778,-2.753872528
24953,F,1,Green,2,R,R,0,0.682791719,0.031971302,-3.442916599,0.026631292,-3.625668378
24955,F,2,Green,2,L,R,0,0.503542081,0.071262101,-2.641390639,0.049256671,-3.010710463
24956,M,2,Green,4,L,R,0,0.411499656,0.151597598,-1.886525653,0.090216944,-2.405538023
24957,M,3,Green,5,L,R,0,0.384845802,0.267948069,-1.316962089,0.151059537,-1.890081232
24959,M,1,Green,4,R,R,1,0.49307991,0.110918526,-2.198959345,0.064138413,-2.74671183
24960,M,5,Red,4,R,R,0,0.481600554,0.045044837,-3.100096914,0.034913035,-3.354895022
24961,F,5,Green,1,L,R,0,0.414366142,0.111311531,-2.195422425,0.071251485,-2.641539623
24964,M,3,Green,2,R,R,0,0.547960239,0.148658904,-1.90610083,0.094224292,-2.362077249
24965,F,8,Green,1,R,R,0,0.547086074,0.037798232,-3.275492956,0.029999369,-3.506578924
24967,M,4,Green,2,L,R,0,0.530024905,0.125208543,-2.077774587,0.079564905,-2.531182177
24968,M,5,Green,4,R,R,0,0.393415602,0.102578752,-2.277124461,0.07246143,-2.624700852
24969,F,7,Green,1,L,R,0,0.565870397,0.053982032,-2.919104022,0.037803427,-3.275355509
24970,M,3,Green,1,L,R,0,0.572825526,0.057295481,-2.859533529,0.04237503,-3.161196012
24971,M,2,Blue,5,R,R,0,0.961020192,0.086380565,-2.448992567,0.05286795,-2.939957987
24972,F,7,Green,5,L,R,0,0.561854384,0.082340026,-2.496897943,0.056017693,-2.882087684
24973,M,5,Green,5,L,R,0,0.51628159,0.05435831,-2.912157782,0.037612464,-3.280419789
24974,F,2,Green,6,L,R,0,0.567618794,0.066224952,-2.714697968,0.049355855,-3.008698877
24976,F,3,Blue,4,R,R,0,0.491986338,0.215198763,-1.5361932,0.122942028,-2.096042348
24978,M,5,Green,2,R,R,0,0.531477838,0.062733547,-2.768858934,0.045915963,-3.080942436
24980,F,4,Blue,8,L,R,1,0.66050846,0.047477725,-3.047494621,0.038259067,-3.263374688
24982,M,6,Green,2,L,R,0,0.530072441,0.134890366,-2.003292934,0.075903492,-2.578292591
24983,F,4,Red,4,L,R,0,0.62257729,0.030589299,-3.48710505,0.027474828,-3.594485027
24984,M,11,Blue,5,L,R,0,0.549443721,0.226708041,-1.484092251,0.129461966,-2.044368141
24986,F,7,Green,2,R,R,0,0.576436702,0.037170135,-3.292249672,0.030440097,-3.491994558
24988,M,6,Green,4,L,R,0,0.513946023,0.073001354,-2.617277287,0.05186632,-2.959085644
24991,M,12,Blue,5,R,R,0,0.611997737,0.060573708,-2.80389434,0.043142294,-3.143251462
24994,F,6,Green,1,R,R,0,0.476528305,0.072901545,-2.618645443,0.057082993,-2.863249048
24995,M,6,Green,5,R,R,0,0.529967335,0.066664835,-2.708077684,0.051139634,-2.973195474
24996,M,4,Green,5,R,R,0,0.494537885,0.108387544,-2.222042106,0.066774187,-2.706438698
24997,F,1,Green,7,R,R,0,0.471580326,0.201492774,-1.602001761,0.117167614,-2.144149772
24998,F,1,Green,6,R,R,0,0.550203932,0.113151642,-2.179026391,0.070894072,-2.646568464
24999,F,2,Green,3,R,R,1,0.504169686,0.087026339,-2.441544458,0.060694538,-2.801901574
25027,F,1,Red,8,R,R,0,0.711855056,0.092945385,-2.375743213,0.062209707,-2.777244232
25028,F,1,Green,8,L,R,0,0.431049167,0.132024102,-2.024770782,0.076888295,-2.565401623
25031,M,15,Blue,1,L,R,0,0.445324356,0.052661544,-2.943869796,0.03978946,-3.224153222
25032,F,1,Green,5,L,R,0,0.508557484,0.11786759,-2.138193399,0.068338035,-2.683288791
25035,F,4,Green,8,R,R,0,0.562484856,0.058940018,-2.831235,0.040620185,-3.20349016
25038,M,4,Red,8,L,R,0,0.646464838,0.033424419,-3.39846853,0.027327407,-3.599865167
25039,F,6,Red,8,L,R,1,0.632392644,0.02945582,-3.524863756,0.026739095,-3.621628566
25040,M,4,Green,1,R,R,0,0.522433372,0.204431469,-1.587522473,0.123414174,-2.092209313
25042,M,2,Blue,4,L,R,0,0.972043072,0.065970522,-2.718547275,0.045108057,-3.098694399
25045,M,13,Blue,8,R,R,0,0.375541199,0.080965994,-2.51372604,0.054818536,-2.903726885
25052,M,3,Red,8,R,R,0,0.580049757,0.112033065,-2.188961228,0.068977825,-2.673970207
25053,M,15,Blue,8,R,R,0,0.390536643,0.082989733,-2.489038373,0.052310585,-2.950556538
25054,F,11,Blue,8,R,R,0,0.469774161,0.062128726,-2.778546814,0.043944643,-3.124824553
25055,F,12,Blue,8,L,R,0,0.559242927,0.072546088,-2.623533223,0.051083332,-2.97429702
25059,M,5,Green,8,L,R,0,0.327415409,0.046142926,-3.076011613,0.033267112,-3.40318599
25060,F,3,Green,8,L,R,0,0.476398698,0.072979308,-2.617579332,0.050178665,-2.992165338
25061,F,14,Blue,7,R,R,0,0.557448066,0.083025297,-2.488609936,0.056779773,-2.868575122
25062,M,10,Blue,8,L,R,0,0.472465168,0.121785776,-2.105491709,0.074560338,-2.596146575
25063,F,7,Blue,8,R,R,0,0.687157174,0.033225945,-3.404424218,0.027341516,-3.599348986
25064,M,15,Blue,7,L,R,0,0.591406129,0.072580766,-2.623055328,0.04865811,-3.022936777
25066,F,8,Blue,8,L,R,0,0.661858874,0.107159861,-2.233433528,0.064242585,-2.74508897
25070,M,16,Blue,8,L,R,0,0.536500063,0.139864742,-1.967079455,0.084556959,-2.470329902
25075,M,16,Blue,7,R,R,0,0.534255514,0.195883362,-1.630235887,0.117561465,-2.140793978
25101,M,3,Green,4,R,R,0,0.718218565,0.107523993,-2.230041264,0.064233825,-2.745225342
25102,F,8,Red,7,R,R,1,0.530274563,0.154713103,-1.866182828,0.087109209,-2.440592675
25103,M,9,Blue,6,R,R,0,0.576603119,0.122719785,-2.097851694,0.072777177,-2.620352878
25104,M,5,Green,7,R,R,0,0.820493144,0.038313493,-3.261953144,0.029146728,-3.535412628
