"","rfid","sex","cohort","coatcolor","dd_housing_box","dd_order_in_box","dd_squad_num","dd_box_color","dd_operant_box","dd_indiff_0","dd_indiff_2","dd_indiff_4","dd_indiff_8","dd_indiff_16","dd_indiff_24","bias","traparea0_2","traparea2_4","traparea4_8","traparea8_16","traparea16_24","AUC","hyperbolic_bias_k","hyperbolic_bias_residualSS","hyperbolic_bias_r2","hyperbolic_k","hyperbolic_residualSS","hyperbolic_r2","exponential_bias_k","exponential_bias_residualSS","exponential_bias_r2","exponential_k","exponential_residualSS","exponential_r2"
"1","933000320045751","M","C02","BROWNHOOD",40,2,4,"blue",8,119.209797777778,111.186215833333,70.9307733333333,49.2058146666666,22.2863333333333,30.258215,0.794731985185187,0.063998892669753,0.0505880525462962,0.0667425488888888,0.0794357199999999,0.0583828314814814,0.319148045586419,0.152785551248119,598.222771130165,0.928437510307209,0.24107754974111,1221.5979820513,0.85386615619107,0.0953399674751028,654.518578711573,0.921703115790295,0.142227052710293,1836.20695885086,0.78034346416077
"2","933000320045756","F","C02","BLACK",54,2,5,"blue",12,96.0756802777777,82.6943433333333,71.2457936666666,62.43185,37.1524219444444,31.230381,0.640504535185185,0.0496583398919753,0.0427611491666666,0.0742653575925925,0.110649191049383,0.0759808921604938,0.353314929861111,0.0838171527124025,40.4326761417033,0.987467610753012,0.246980414620267,3522.60673588646,-0.0918564634077568,0.0553683646378913,84.0934261916482,0.973934657541513,0.132025205468212,5347.93251742416,-0.657628887588177
"3","933000320045757","F","C02","BROWNHOOD",18,2,2,"blue",12,119.422220666667,57.0936708333333,58.9463477777778,43.2841752777777,42.0589288888889,29.9088616666667,0.79614813777778,0.0490321920833334,0.0322333385030864,0.0567947350308642,0.0948256712962962,0.0799642117283951,0.312850148641975,0.249248448062936,1015.25090244956,0.798279708074267,0.417943656832949,2399.45246883611,0.523252575981246,0.129366301165282,2713.91228068891,0.460772528051409,0.243247955850391,5040.86504224047,-0.0015699226915904
"4","933000320045759","F","C02","BROWNHOOD",52,2,5,"blue",8,160.290938888889,112.420497222222,129.011266944444,69.6140726666666,31.8102272222222,26.974896,1.06860625925926,0.0757531766975308,0.067064378935185,0.110347410895061,0.11269366654321,0.0653168035802469,0.431175436651234,0.151993966076312,1256.07528720541,0.914685666227384,0.13239686837667,1457.31915211915,0.901016910511999,0.0928360217374936,927.547737716899,0.93699970209455,0.0838363771553814,939.978261981014,0.936155404060157
"5","933000320045760","M","C02","BROWN",39,2,4,"blue",6,184.36821,141.342536111111,97.8695293333333,90.6022270833333,45.6857786666666,31.55022,1.2291214,0.0904752072530864,0.0664477959567901,0.104706531342593,0.1514311175,0.0858177762962962,0.498878428348765,0.172621137045188,346.609293833317,0.979048219671363,0.109546038213432,1844.27365164158,0.888517656327848,0.0995220186589325,1104.94270314385,0.933208609221156,0.0705326305989751,1588.25664897347,0.903993329068689
"6","933000320045761","F","C02","BROWN",55,1,5,"blue",13,141.181913888889,119.267019444444,117.324494444444,69.0359330555555,48.1811452777778,27.7296196666667,0.94121275925926,0.0723469259259258,0.0657198649691356,0.103533570833333,0.130241198148148,0.0843452943827161,0.456186854259259,0.10930824313305,551.957983238176,0.946092157275679,0.124980781773387,512.772544165091,0.949919264683823,0.0708622957855458,264.944737569479,0.974123756377723,0.0781463995171133,392.945666144107,0.961622344792575
"7","933000320045766","F","C02","BROWN",18,1,2,"blue",11,197.535216666667,183.7041375,107.196761388889,87.8904722222222,46.5849619444444,32.3437941666666,1.31690144444445,0.105899820601852,0.0808058052469136,0.108381796450617,0.149417149074074,0.0876986179012344,0.532203189274691,0.159246789342405,1487.77364319838,0.937064360608933,0.0899901788827972,5922.05017602267,0.749486075359736,0.0973573035191312,1362.7722875578,0.942352154406031,0.0631995205229262,5070.50289019657,0.785508136343409
"8","933000320045768","F","C02","BLACKHOOD",55,2,5,"blue",14,140.609697222222,95.4648138888888,56.3432638888889,42.5844647222222,32.8500553333333,27.8835158333333,0.93739798148148,0.0655762530864197,0.0421689104938271,0.0549598492283951,0.0838161333950617,0.0674817457407407,0.314002891944444,0.272465397466722,271.137962790576,0.971838879207641,0.309137655283622,370.720702847219,0.96149594698706,0.159521907392528,1474.23862907999,0.846881596059086,0.181678289762762,1766.68588289402,0.816507234773457
"9","933000320045769","F","C02","BLACKHOOD",54,1,5,"blue",11,124.060588888889,114.423255555555,70.9453297222222,75.0928966666666,43.7560030555555,36.5807072222222,0.827070592592593,0.0662455123456789,0.0514912736882714,0.0811323479938271,0.132054333024691,0.089263011419753,0.420186478472222,0.10551081269754,478.063355840603,0.925220993558752,0.166385442083553,1207.82512925063,0.811071143569831,0.0657526612651135,752.329298784155,0.882320121815658,0.0936621145525097,2360.17094519891,0.630820400356471
"10","933000320045772","F","C02","BROWN",17,2,2,"blue",10,155.186163888889,98.0496269999999,73.8094247222222,37.7261444444444,32.0516625,29.3496955555555,1.03457442592593,0.0703432752469136,0.047738625478395,0.0619642050925926,0.0775308966049382,0.0682237311728394,0.325800733595679,0.287117808357719,202.407477593819,0.983389822902828,0.268822858670798,226.301157514361,0.981429034399847,0.168371556264056,1371.74075327715,0.887430755453287,0.157927101202624,1288.93391975364,0.894226137649797
"11","933000320045803","F","C02","ALBINO",5,1,1,"blue",9,275.085633333333,184.685438888889,126.27316,81.7559079999999,52.0920454166666,19.958315,1.83390422222222,0.127714186728395,0.0863773885802469,0.115571704444444,0.148719948240741,0.0800559560185185,0.558439184012345,0.285620940207834,334.994624038287,0.992436657948824,0.0878578135169236,20086.6503101502,0.54649359704154,0.161492981130914,1753.18994174607,0.96041734923904,0.063306403952429,18747.7552019613,0.576722505051482
"12","933000320045804","M","C02","BROWNHOOD",24,2,2,"red",8,169.516677777778,162.032686111111,91.3689472222222,74.0568833333333,38.8906555555555,27.7023138888889,1.13011118518519,0.0920970455246914,0.0703893425925926,0.0919032391975309,0.125497265432099,0.0739921882716049,0.453879081018518,0.15889990201028,1403.08617610089,0.92277266038321,0.124139720643742,2442.16879190578,0.865580459770369,0.0978807594691025,1209.36699391264,0.933435168023841,0.0807022410981147,1924.67069220904,0.894064099747055
"13","933000320045812","F","C02","BROWNHOOD",41,2,4,"blue",10,106.334420833333,125.696425833333,82.8077827777777,97.5589261111111,21.7005641666666,40.7448383333333,0.708896138888887,0.0644530129629628,0.0579178357253085,0.100203727160494,0.132510544753086,0.0693837805555555,0.424468901157407,0.0616674252249596,2681.21404193621,0.666234373705588,0.13622116816668,3516.98801281184,0.562194704187658,0.0467499743784389,2314.16783071734,0.711925395254166,0.0829847607042515,3675.23579359533,0.542495542227146
"14","933000320045821","F","C02","BLACK",20,1,2,"blue",15,140.064585555555,105.525788333333,56.8150916666666,37.8470126666666,27.3032680555555,19.963736,0.9337639037037,0.0682195483024689,0.0450946888888888,0.0525900579629629,0.072389200802469,0.0525188933950617,0.290812389351851,0.273910599249942,366.770902579146,0.968188735749626,0.310022826616394,405.977993891883,0.964788173890799,0.162571432469829,863.67027460823,0.925090995121056,0.1827338068319,1045.29423730701,0.909338142779221
"15","933000320045822","M","C02","ALBINO",6,1,1,"blue",11,106.923201666667,62.7920453333333,52.9481116666666,60.6077838888888,37.7620836666666,26.3229705555555,0.712821344444447,0.0471431241666668,0.0321500436111111,0.0630866086419752,0.109299852839506,0.071205615802469,0.322885245061728,0.165253582362437,745.114152431557,0.807050415422436,0.374201508953933,3359.71716117633,0.129990984023576,0.0861778090970185,1589.40308519606,0.58841921870079,0.203573916763532,6039.40294579301,-0.563921830882573
"16","933000320045877","M","C01","ALBINO",43,1,6,"blue",5,264.14726,264.861025,226.549613333333,196.27634,81.9902156666666,35.09419875,1.76098173333333,0.146946745833333,0.136502955092592,0.234903307407407,0.309185061851852,0.130093793796296,0.957631863981481,0.0836927700628702,7493.34864902856,0.841568484482726,0.0216683076335123,45118.3755708765,0.0460643226178737,0.05993343365526,3487.36627375385,0.92626678007485,0.0218444016276007,44070.3982583093,0.0682216572935085
"17","933000320045878","M","C01","BROWNHOOD",44,1,6,"blue",7,234.588354,96.2890066666666,90.9041466666666,29.2203946666666,22.9534175,19.6173943333333,1.56392236,0.0919103779629629,0.0519980981481481,0.0667358562962962,0.0579709024074073,0.047300902037037,0.315916136851852,0.586409070765267,728.940771193793,0.978388966453784,0.273134361914209,7869.48006512906,0.766692158815235,0.303842705046501,2344.22278988714,0.93050042012455,0.159254229323268,8007.74847344558,0.762592891318348
"18","933000320045880","F","C01","BROWNHOOD",14,1,2,"blue",11,114.028727222222,86.1311569444444,96.1298902777777,76.0104511111111,47.3850613888889,35.0276911111111,0.760191514814813,0.055599967824074,0.0506280686728395,0.0956335229938271,0.137106125,0.091569725,0.430537409490741,0.0789517656275313,307.642770914191,0.930887072858987,0.158381416541664,2220.11318822559,0.501244509771253,0.0529335681140956,298.443244854038,0.932953775653393,0.0871265656520726,3356.40747167893,0.245972384280725
